w_rmse,w_log_rmse,subspace_similarity,tv_score,hellinger_score,gene_topk_hit_mean,f1_tau90,jaccard_tau90,H_corr,H_corr_spearman,sigma2_age_rmse,sigma2_age_log_rmse,tau2_spa_rmse,tau2_spa_log_rmse,sigma2_e_abs_err,sigma2_e_log_abs_err,align_cost,method,rep
0.02426067687751272,-3.718898474886261,0.23986886175985156,0.6785818857895516,0.7106875270937368,0.75,0.7132936507930787,0.6516509433962264,0.6155708338192329,0.5967777195550333,,,,,,,0.0005726911397988242,Popari,6
0.05805144381667996,-2.8464256991978405,-0.07400286078974716,0.410417694631673,0.4941299941133945,0.7714285714285714,0.6376070737767163,0.5255952380952381,0.3638442939697436,0.3515515307492686,,,,,,,0.003384092030623731,STAMP,6
0.024361532172852272,-3.7147499410390576,0.3058745097297859,0.6476220428278312,0.594069560073676,0.75,0.6710966117210785,0.5821886446886446,0.6143260145193175,0.6330390173661828,,,,,,,0.0006002168601637692,MEFISTO,6
0.00902494417454334,-4.707762960428491,0.8145520018500836,0.8945462383388918,0.8400534907569194,1.0,0.9494949494942696,0.9083333333333333,0.9701155475596205,0.9709704720884075,5.140828717254143,1.6372142955088402,3.330469794502578,1.2031133734717891,0.0333336074072039,-3.401189159479841,8.144961735362375e-05,stGP,7
0.02636483127453522,-3.6357243056205903,0.5673565455049769,0.7256333692941754,0.6556428303932509,0.7476190476190476,0.8290584415577634,0.7125,0.4027992134719486,0.396754941624414,,,,,,,0.0006951043281347106,PCA,7
0.05883387346925457,-2.8330375105385075,-0.19606437831140666,0.2357599171473301,0.2203913468084939,0.14166666666666666,0.2499999999997361,0.175,0.2996082254608386,0.3047058515661562,,,,,,,0.003461424667396253,NMF,7
0.019006330729672727,-3.962983159014691,0.5910686639518972,0.7835342424483515,0.683216907709524,0.8250000000000001,0.7979797979791423,0.6761904761904762,-0.027914874845156548,-0.04414129010885741,,,,,,,0.0003612406078057017,SpatialPCA,7
0.025519892563193647,-3.668297030420615,0.23255133555439922,0.6741359800659177,0.6625018561061743,0.7083333333333334,0.7350877192976852,0.6855345911949685,0.5068671722035606,0.49810385532665835,,,,,,,0.0006436060758322929,Popari,7
0.03254562183431997,-3.4251124252323484,0.1872649973987931,0.577118949179362,0.5596983726954591,0.7559523809523809,0.5925324675319403,0.46208791208791206,0.3999924640460726,0.3837702684364732,,,,,,,0.0010557282974235816,STAMP,7
0.03324226354523837,-3.4039332142845553,0.31722957566867105,0.3911041549454549,0.377948661425669,0.3666666666666667,0.45315110693363314,0.36651404151404154,0.43870084337090864,0.4224490969518794,,,,,,,0.001114333743027448,MEFISTO,7
0.00629713736089033,-5.067660136010043,0.8637108068415843,0.9248837402622972,0.8672679880911529,1.0,0.894841269840621,0.8160714285714286,0.9736354685223123,0.9707183066172029,5.8305370620975685,1.7631091165479744,3.475682735063411,1.245790930240795,0.035106994906555195,-3.3493548832779094,3.965393894192084e-05,stGP,8
